n_samples,n_features,feature_mean,feature_std,coeff_variation,pca_explained_variance,avg_skewness,avg_kurtosis,mean_abs_correlation,n_zero_variance_features,mean_variance,median_variance,mean_feature_entropy,dataset_name,split,model_name,accuracy,f1_score,auc_roc
179,8,0.024459126419614525,1.0388150567179826,42.471470112886976,0.8687004194792991,1.336297128802554,6.042960322600493,0.18107448265449091,0,1.0755523613229376,1.023447260534469,0.850678951492716,Titanic,test,Random Forest,0.8100558659217877,0.7424242424242424,0.8231884057971015
534,8,-0.0048760171268289075,0.9919800348821628,-203.44063793871288,0.83208801629893,1.5590876782276564,7.8619728603974615,0.15977788368170312,0,0.9835531312906944,0.9966566827083938,0.8336980251190975,Titanic,train,Decision Tree,,,
178,8,-0.009968485861709871,0.9836529945270497,-98.67626921209536,0.8475328306821567,1.5914383213530794,8.81601366588411,0.1789015209856866,0,0.9662007667827832,0.9408409258487895,0.825736230254575,Titanic,val,Decision Tree,0.8033707865168539,0.7482014388489209,0.7911096256684491
179,8,0.024459126419614525,1.0388150567179826,42.471470112886976,0.8687004194792991,1.336297128802554,6.042960322600493,0.18107448265449091,0,1.0755523613229376,1.023447260534469,0.850678951492716,Titanic,test,Decision Tree,0.776536312849162,0.7142857142857143,0.7598155467720685
534,8,-0.0048760171268289075,0.9919800348821628,-203.44063793871288,0.83208801629893,1.5590876782276564,7.8619728603974615,0.15977788368170312,0,0.9835531312906944,0.9966566827083938,0.8336980251190975,Titanic,train,K-Nearest Neighbors,,,
178,8,-0.009968485861709871,0.9836529945270497,-98.67626921209536,0.8475328306821567,1.5914383213530794,8.81601366588411,0.1789015209856866,0,0.9662007667827832,0.9408409258487895,0.825736230254575,Titanic,val,K-Nearest Neighbors,0.8258426966292135,0.7669172932330827,0.8635695187165775
179,8,0.024459126419614525,1.0388150567179826,42.471470112886976,0.8687004194792991,1.336297128802554,6.042960322600493,0.18107448265449091,0,1.0755523613229376,1.023447260534469,0.850678951492716,Titanic,test,K-Nearest Neighbors,0.8212290502793296,0.7611940298507462,0.8401185770750987
534,8,-0.0048760171268289075,0.9919800348821628,-203.44063793871288,0.83208801629893,1.5590876782276564,7.8619728603974615,0.15977788368170312,0,0.9835531312906944,0.9966566827083938,0.8336980251190975,Titanic,train,Naive Bayes,,,
178,8,-0.009968485861709871,0.9836529945270497,-98.67626921209536,0.8475328306821567,1.5914383213530794,8.81601366588411,0.1789015209856866,0,0.9662007667827832,0.9408409258487895,0.825736230254575,Titanic,val,Naive Bayes,0.797752808988764,0.7272727272727273,0.8366978609625668
179,8,0.024459126419614525,1.0388150567179826,42.471470112886976,0.8687004194792991,1.336297128802554,6.042960322600493,0.18107448265449091,0,1.0755523613229376,1.023447260534469,0.850678951492716,Titanic,test,Naive Bayes,0.7877094972067039,0.7076923076923077,0.8075098814229248
534,8,-0.0048760171268289075,0.9919800348821628,-203.44063793871288,0.83208801629893,1.5590876782276564,7.8619728603974615,0.15977788368170312,0,0.9835531312906944,0.9966566827083938,0.8336980251190975,Titanic,train,XGBoost,,,
178,8,-0.009968485861709871,0.9836529945270497,-98.67626921209536,0.8475328306821567,1.5914383213530794,8.81601366588411,0.1789015209856866,0,0.9662007667827832,0.9408409258487895,0.825736230254575,Titanic,val,XGBoost,0.7921348314606742,0.7412587412587412,0.8672459893048129
179,8,0.024459126419614525,1.0388150567179826,42.471470112886976,0.8687004194792991,1.336297128802554,6.042960322600493,0.18107448265449091,0,1.0755523613229376,1.023447260534469,0.850678951492716,Titanic,test,XGBoost,0.770949720670391,0.7092198581560284,0.8234519104084321
19536,99,5.208037888292278e-05,1.0015288693475775,19230.445147087437,0.12823934437250287,17.87216346083374,766.3092520368389,0.021088288822614022,0,1.0030420504610693,1.0008057938636463,0.19152993882890787,Adult Income,train,Logistic Regression,,,
6512,99,0.000900689515538761,0.999612880077811,1109.8307050680805,0.1342386566899937,16.140581396649758,578.3474150617816,0.022358469116453745,0,0.9991088698731784,1.0021182575650238,0.19219248052429433,Adult Income,val,Logistic Regression,0.847051597051597,0.6532033426183844,0.9000093779927019
6513,99,-0.0010567683720321183,0.9957877365337814,-942.2951735572159,0.1358463482090452,16.869645320459068,613.081638223601,0.022001840295117356,0,0.9914545192280958,0.989649558544652,0.19091486916775507,Adult Income,test,Logistic Regression,0.8527560264087211,0.6705599450360701,0.9079184163554198
19536,99,5.208037888292278e-05,1.0015288693475775,19230.445147087437,0.12823934437250287,17.87216346083374,766.3092520368389,0.021088288822614022,0,1.0030420504610693,1.0008057938636463,0.19152993882890787,Adult Income,train,Random Forest,,,
6512,99,0.000900689515538761,0.999612880077811,1109.8307050680805,0.1342386566899937,16.140581396649758,578.3474150617816,0.022358469116453745,0,0.9991088698731784,1.0021182575650238,0.19219248052429433,Adult Income,val,Random Forest,0.8427518427518428,0.6528813559322034,0.8842102981969487
6513,99,-0.0010567683720321183,0.9957877365337814,-942.2951735572159,0.1358463482090452,16.869645320459068,613.081638223601,0.022001840295117356,0,0.9914545192280958,0.989649558544652,0.19091486916775507,Adult Income,test,Random Forest,0.8481498541378781,0.6677863621095063,0.8919586755329026
19536,99,5.208037888292278e-05,1.0015288693475775,19230.445147087437,0.12823934437250287,17.87216346083374,766.3092520368389,0.021088288822614022,0,1.0030420504610693,1.0008057938636463,0.19152993882890787,Adult Income,train,Decision Tree,,,
6512,99,0.000900689515538761,0.999612880077811,1109.8307050680805,0.1342386566899937,16.140581396649758,578.3474150617816,0.022358469116453745,0,0.9991088698731784,1.0021182575650238,0.19219248052429433,Adult Income,val,Decision Tree,0.816953316953317,0.6149870801033591,0.7627140168870946
6513,99,-0.0010567683720321183,0.9957877365337814,-942.2951735572159,0.1358463482090452,16.869645320459068,613.081638223601,0.022001840295117356,0,0.9914545192280958,0.989649558544652,0.19091486916775507,Adult Income,test,Decision Tree,0.8220482112697681,0.6286446651714194,0.768378373847011
19536,99,5.208037888292278e-05,1.0015288693475775,19230.445147087437,0.12823934437250287,17.87216346083374,766.3092520368389,0.021088288822614022,0,1.0030420504610693,1.0008057938636463,0.19152993882890787,Adult Income,train,K-Nearest Neighbors,,,
6512,99,0.000900689515538761,0.999612880077811,1109.8307050680805,0.1342386566899937,16.140581396649758,578.3474150617816,0.022358469116453745,0,0.9991088698731784,1.0021182575650238,0.19219248052429433,Adult Income,val,K-Nearest Neighbors,0.8180282555282555,0.6022155085599195,0.830527223783931
6513,99,-0.0010567683720321183,0.9957877365337814,-942.2951735572159,0.1358463482090452,16.869645320459068,613.081638223601,0.022001840295117356,0,0.9914545192280958,0.989649558544652,0.19091486916775507,Adult Income,test,K-Nearest Neighbors,0.8206663595885153,0.608841259209645,0.8430215147231794
19536,99,5.208037888292278e-05,1.0015288693475775,19230.445147087437,0.12823934437250287,17.87216346083374,766.3092520368389,0.021088288822614022,0,1.0030420504610693,1.0008057938636463,0.19152993882890787,Adult Income,train,Naive Bayes,,,
